,OLTV,DTI,CSCORE_B,PURPOSE,PROP,LOSS_GIVEN_DEFAULT,UNRATE,CURR_HPI,MORTGAGE30US,MTM_LTV,INT_DIFF,LOG_OUPB
13129,90,50.0,656.0,P,SF,0.1043839971064393,10.2,337.42,5.01,88.46389718656351,1.865,11.635143097694478
13130,95,56.0,711.0,P,PU,0.0,10.4,305.56,4.77,100.59601058166426,1.1050000000000004,12.154779351142624
13131,95,44.0,674.0,P,PU,0.0370957160885978,10.4,301.28666666666663,4.39,101.80903312409606,1.4850000000000003,12.889169490236618
13132,93,47.0,689.0,R,SF,0.4116931818054189,11.2,314.82,5.09,97.62619902873976,0.7850000000000001,12.375815420117268
13133,70,45.0,711.0,R,SF,0.7958031292804875,9.5,298.34333333333336,3.39,74.02822323140008,2.36,11.84939770159144
13134,80,47.0,680.0,C,SF,0.3808815408102718,10.4,305.56,4.77,84.81275998749108,1.1050000000000004,12.283033686666302
13135,80,31.0,757.0,C,SF,0.5659772895512724,10.3,300.4,4.55,76.29759980193076,0.5750000000000002,11.289781913656018
13136,80,45.0,593.0,P,SF,0.1505364245565793,6.1,333.68333333333334,6.35,80.7012941163778,0.6500000000000004,12.100712129872347
13137,89,52.0,710.0,R,SF,0.247862830730932,9.6,336.15333333333336,5.53,88.94971823889891,1.845,11.813030057420567
13138,71,61.0,718.0,C,SF,0.1939009641026134,6.2,307.06666666666666,4.14,71.08298966645953,1.8500000000000003,12.718896271958837
13139,80,49.0,738.0,C,PU,0.0217808636206896,5.1,339.90000000000003,3.46,72.2518819643526,2.29,12.535376392672774
13140,90,14.0,731.0,C,SF,0.5309327545663247,11.0,318.3533333333333,4.98,94.0256097239242,1.7699999999999996,11.661345470088502
13141,95,39.0,671.0,P,CO,0.0,6.0,333.74666666666667,6.52,95.87239223331932,0.3550000000000004,12.845291484064564
13142,95,39.0,728.0,P,SF,0.710764354687971,10.8,312.94666666666666,5.0,99.61999785832552,0.625,11.661345470088502
13143,75,55.0,743.0,C,SF,0.1675917853768312,10.4,313.75666666666666,4.49,78.21035022301213,1.0099999999999998,12.92391243868049
13144,87,47.0,652.0,C,SF,0.3647304746884662,9.1,298.46,3.53,92.41990433062004,3.22,12.089538829274222
