,ORIG_RATE,ORIG_UPB,ORIG_DATE,OLTV,DTI,CSCORE_B,PURPOSE,PROP,NO_UNITS,OCC_STAT,LAST_UPB,LAST_PAID_INSTALLMENT_DATE,LOSS_GIVEN_DEFAULT
1534,7.25,47000.0,2001-06-01,95,39.0,694.0,P,SF,1,P,39198.28,2012-07-01,0.4933902694234839
1535,7.25,190000.0,2001-06-01,90,59.0,649.0,R,SF,1,P,187123.72,2003-02-01,0.0302670885856098
1536,7.625,56000.0,2001-08-01,72,25.0,654.0,R,SF,1,I,51449.73,2008-10-01,1.0
1537,6.7,171000.0,2001-05-01,90,61.0,626.0,C,SF,1,P,156287.8,2008-01-01,0.1092352094383844
1538,7.125,94000.0,2001-07-01,75,35.0,714.0,C,SF,1,P,88052.95,2006-11-01,0.0
1539,8.125,78000.0,2001-09-01,97,40.0,657.0,P,SF,1,P,79439.37,2004-11-01,0.0020304236616094
1540,7.0,274000.0,2001-06-01,74,22.0,714.0,C,SF,1,P,269998.38,2002-12-01,0.0
1541,7.625,80000.0,2001-07-01,90,28.0,661.0,P,MH,1,P,77090.09,2005-05-01,0.4859099685716753
1542,6.75,182000.0,2001-04-01,95,37.0,682.0,P,SF,1,P,175505.4,2003-06-01,0.0
1543,8.125,132000.0,2001-04-01,80,8.0,679.0,P,CO,1,I,130400.36,2002-10-01,0.0
1544,6.875,77000.0,2001-06-01,86,33.0,647.0,R,SF,1,P,57910.62,2009-02-01,0.2417347013032408
1545,7.5,103000.0,2001-07-01,90,39.0,691.0,P,PU,1,S,96079.32,2007-04-01,0.0
1546,7.875,80000.0,2001-08-01,95,42.0,633.0,R,SF,1,P,73888.45,2008-05-01,0.360213966997021
1547,7.75,69000.0,2001-06-01,95,39.0,619.0,P,SF,1,P,64015.01,2008-05-01,0.0254801120460656
1548,7.0,36000.0,2001-05-01,75,23.0,654.0,C,SF,1,I,32668.78,2003-09-01,0.8114976290994415
1549,8.0,112000.0,2001-08-01,97,30.0,633.0,P,MH,1,P,103369.63,2008-06-01,0.1627996023807312
1550,7.75,89000.0,2001-06-01,95,28.0,739.0,P,MH,1,P,80620.64,2007-11-01,0.3923913691748062
1551,7.125,77000.0,2001-07-01,78,53.0,664.0,R,SF,1,P,76080.72,2002-10-01,0.1466269710083137
1552,7.0,77000.0,2001-06-01,90,38.0,658.0,C,SF,1,P,63078.8,2013-01-01,0.5963726206054394
1553,7.875,35000.0,2001-06-01,63,9.0,645.0,C,SF,1,P,29374.63,2009-10-01,0.9690889566364896
1554,7.875,114000.0,2001-06-01,95,45.0,640.0,R,SF,1,P,114000.0,2001-08-01,0.0
1555,7.375,55000.0,2001-06-01,68,13.0,627.0,C,SF,1,P,52199.22,2005-07-01,0.8499884039262641
1556,7.875,77000.0,2001-06-01,90,26.0,604.0,C,SF,1,P,69364.82,2009-08-01,0.0056292503515248
1557,7.25,65000.0,2001-04-01,88,36.0,712.0,C,SF,1,P,38180.23,2012-12-01,0.5154227802315886
1558,7.75,79000.0,2001-06-01,84,21.0,649.0,R,SF,1,P,78002.29,2002-09-01,0.5742019934043736
1559,7.5,49000.0,2001-07-01,78,19.0,572.0,R,SF,1,P,44392.52,2014-06-01,0.740423560676822
1560,7.875,107000.0,2001-07-01,80,10.0,667.0,C,SF,1,I,104993.88,2003-11-01,0.0
1561,7.5,122000.0,2001-06-01,95,37.0,651.0,P,SF,1,P,119637.72,2003-11-01,0.0
1562,7.125,94000.0,2001-06-01,80,51.0,628.0,C,MH,1,P,93066.63,2002-03-01,0.6968643637562183
1563,6.625,63000.0,2001-05-01,68,21.0,661.0,C,SF,1,P,26552.9,2011-10-01,0.0
1564,7.5,74000.0,2001-06-01,89,34.0,661.0,P,MH,1,P,66872.34,2009-03-01,0.6021395662911846
1565,7.125,143000.0,2001-06-01,95,46.0,680.0,R,SF,1,P,142037.8,2001-11-01,0.0420874662675981
1566,7.875,84000.0,2001-07-01,80,30.0,630.0,R,SF,1,I,82702.91,2003-05-01,0.0
1567,8.625,70000.0,2001-07-01,90,36.0,725.0,P,CO,1,I,69522.03,2002-11-01,0.0
1568,7.875,157000.0,2001-06-01,95,,623.0,P,PU,1,P,150058.23,2009-03-01,0.0
1569,7.25,68000.0,2001-07-01,70,34.0,685.0,P,SF,1,P,64828.33,2004-09-01,0.2976388388636044
1570,7.375,84000.0,2001-07-01,80,39.0,662.0,P,MH,1,P,77481.88,2011-04-01,0.7706348182730419
1571,7.0,79000.0,2001-06-01,93,51.0,611.0,R,SF,1,P,63958.38,2013-03-01,0.6110969445181584
1572,7.25,106000.0,2001-06-01,80,59.0,639.0,P,PU,1,P,92121.96,2011-04-01,0.0
1573,7.75,82000.0,2001-05-01,80,33.0,672.0,R,MH,1,P,80036.05,2003-07-01,0.64154029289602
1574,7.875,165000.0,2001-05-01,95,,733.0,P,PU,1,P,172924.47,2003-03-01,0.0339312222072028
1575,8.5,60000.0,1999-10-01,63,40.0,616.0,C,SF,1,P,56576.59,2002-07-01,0.0
1576,7.375,59000.0,2001-06-01,90,53.0,706.0,C,SF,1,P,57872.74,2002-08-01,0.5483545168971798
1577,8.0,55000.0,2001-07-01,80,29.0,670.0,C,SF,1,I,54368.06,2003-05-01,0.0
1578,8.375,75000.0,2001-08-01,70,24.0,581.0,C,SF,1,P,75288.59,2007-02-01,0.0
1579,6.5,111000.0,2001-06-01,84,38.0,595.0,R,SF,1,P,91907.71,2007-03-01,0.3564059027304649
1580,6.99,102000.0,2001-06-01,85,45.0,708.0,C,SF,1,P,99232.34,2004-01-01,0.0949284018145554
1581,8.0,101000.0,2001-08-01,95,60.0,623.0,R,SF,1,P,96132.48,2009-07-01,0.3986937055936075
1582,7.25,56000.0,2001-06-01,95,29.0,637.0,P,SF,1,P,55190.15,2008-02-01,0.532934149429975
1583,7.25,72000.0,2001-06-01,95,,649.0,R,MH,1,P,71739.71,2002-03-01,0.0558857023050888
1584,7.625,51000.0,2001-07-01,64,13.0,654.0,R,SF,1,I,46654.9,2008-10-01,0.9589282249594636
1585,8.125,144000.0,2001-04-01,80,8.0,679.0,P,CO,1,I,142091.53,2002-10-01,0.0
1586,7.375,76000.0,2001-06-01,95,56.0,705.0,P,SF,1,P,55835.3,2016-09-01,0.5592851677702075
1587,6.875,130000.0,2001-06-01,78,38.0,689.0,R,SF,1,P,124128.32,2005-06-01,0.0272323008927883
1588,7.875,89000.0,2001-08-01,94,26.0,733.0,R,SF,1,P,87291.85,2003-10-01,0.5972675457936829
1589,7.5,58000.0,2001-06-01,68,26.0,590.0,C,SF,1,P,48787.78,2012-11-01,0.748441015744849
1590,7.25,64000.0,2001-07-01,80,38.0,637.0,P,SF,1,P,62037.33,2004-06-01,0.2311425350261649
1591,7.125,123000.0,2001-05-01,95,41.0,734.0,P,CO,1,P,98701.17,2017-02-01,0.0
1592,7.375,63000.0,2001-07-01,95,26.0,630.0,P,SF,1,P,59696.26,2013-08-01,0.415760003611708
1593,7.5,48000.0,2001-08-01,95,45.0,633.0,P,MH,1,P,42100.5,2010-02-01,0.524789927153478
